"timestamp","asin","brand","buybox_seller","final_price","number_of_sellers","root_bs_rank","reviews_count","currency","image_url","images_count","title","url","video_count","categories","item_weight","rating","seller_id","availability","product_dimensions","discount","initial_price","description","image","answered_questions","date_first_available","model_number","manufacturer","department","plus_content","upc","video"
"2023-08-03","B07RGHBLGC","SHNITPWR","SNT-POWER","13.99","1","null","234","USD","https://m.media-amazon.com/images/I/61qDGTATaLL.__AC_SX300_SY300_QL70_FMwebp_.jpg","7","SHNITPWR 12V 6A AC DC Power Supply Adapter Converter 100V~240V AC to DC 12 Volt 6 Amp 72W LED Driver Transformer with 5.5x2.5mm Plug for 5050 3528 LED Strip 3D Printer CCTV Security System LCD Monitor","https://www.amazon.com/SHNITPWR-Converter-100V-240V-Transformer-5-5x2-5mm/dp/B07RGHBLGC","0","Electronics,Power Accessories,AC Adapters","400 Grams","4.4","A2QEP0IMOO32F1","In Stock","8 x 5 x 2 inches","42","23.99","About this item Input: AC 100 - 240V, 50 / 60Hz ; Output: DC 12V, Max 6A, 72W ; It can supply with all amperage less than 6A. ---such as 500mA, 1A, 2.5A, 3A, 5A, 6A. If your device draws 4A then 4A will be supplied. But if draws more than 6A, only 6A will be supplied and power supply will be damaged soon. NEVER OVERLOAD！ Please pay attention to the size and polarity of the power plug.The polarity of this adapter is Central Positive(+) and Outer Negative(-).And it can Only be used for devices with sockets of 5.5 x 2.1mm! If you are not sure whether the adapter matches your device, feel free to contact us by email. Certified by FCC CE ROHS. We focus on producing high quality power adapters. No noise, low temperature operation, no spontaneous combustion, no explosion, no fire hazard, stable output. Automatic overload cut-off, over voltage cut-off, automatic thermal cut-off, short circuit protection. It is perfect for 5050 3528 12V LED Strip Light, Wireless Router, ADSL Cats, HUB, Security Cameras, Audio/ Video Power Supply, 3D Printer, LED Driver, CCTV Security System, LCD Monitor, Webcam Router and other 12V devices. This product is an AC to DC adapter, NOT charger!!!It can’t be used to charge electronic devices with batteries, such as laptops. Otherwise, it may damage your device. If you don't like our product or don't want it, please feel free to contact us. We will happily accept the return and give you refund, we have 30 days money back guarantee, 18 months exchange.","https://m.media-amazon.com/images/I/61qDGTATaLL.__AC_SX300_SY300_QL70_FMwebp_.jpg","0","May 10, 2019","SNT-1206","SHNITPWR","null","true","null","false"
"2023-08-15","B09871LZYT","FINTIE","Fintie","15.99","2","12194","1576","USD","https://m.media-amazon.com/images/I/81Adh+cGYcS._AC_SY300_SX300_.jpg","1","Fintie Silicone Case for All-New Fire HD 10 and Fire HD 10 Plus Tablet (Only compatible with 11th Generation 2021 Release) - [Honey Comb] Light Weight Shock Proof Back Cover, Black","https://www.amazon.com/Fintie-Silicone-All-New-Compatible-Generation/dp/B08YYQ7SHQ","0","Electronics,Computers & Accessories,Tablet Accessories,Bags, Cases & Sleeves,Cases","7.4 ounces","4.7","A3A3E6QGUGPEMU","In Stock","5.12 x 1.77 x 0.67 inches","-52%","32.99","Specifically designed for All-New Amazon Fire HD 10 Tablet and Fire HD 10 Plus Tablet (Compatible with 11th Generation, 2021 Release). Special rear pattern with raised supports for grip and drop protection in a Patented Honey Comb anti slip design. Made of duarable impact-resistant silicone. The 2nd generation Honey Comb series provide extra corner protection with enhanced shock absorber design to protect from extreme shock and impact. All ports, buttons and speakers have precision cut -outs for easy access. Form fit feature protects back and sides from scratches, dirt and bumps. Supports Fire HD 10 Plus 2021 11th generation tablet wireless charging with Amazon Wireless Charging Dock. Available in a variety of bright, fun colors.","https://m.media-amazon.com/images/I/81Adh+cGYcS._AC_SY300_SX300_.jpg","0","March 15, 2021","EKAR025","FINTIE","null","true","null","false"
"2023-08-16","B09W9BXT9Z","Nixplay","Amazon.com","219.99","3","366","1998","USD","https://m.media-amazon.com/images/I/71iSS-r+KJL._AC_SY300_SX300_.jpg","1","Nixplay 10.1 inch Touch Screen Digital Picture Frame with WiFi (W10K) - Polished Steel - Share Photos and Videos Instantly via Email or App - Preload Content","https://www.amazon.com/Nixplay-Digital-W10K-Polished-Instantly/dp/B09W9BXT9Z","0","Electronics,Camera & Photo,Lighting & Studio,Photo Studio,Storage & Presentation Materials,Digital Picture Frames","1.63 pounds","4.6","ATVPDKIKX0DER","Only 5 left in stock - order soon","10.55 x 4.65 x 0.99 inches","-25%","219.99","Nixplay Digital Picture Frame with Touch Screen. Share your moments through the Nixplay mobile app for iOS/Android and make the most of your most treasured memories.","https://m.media-amazon.com/images/I/71iSS-r+KJL._AC_SY300_SX300_.jpg","0","April 6, 2022","W10K - Polished Steel","Nixplay","null","false","null","false"
"2022-10-13","B093F837T9","Sound Storm Laboratories","Speece, Inc.","$335.99","2","45741","324","$","https://m.media-amazon.com/images/I/71DXeNXt84L.__AC_SX300_SY300_QL70_FMwebp_.jpg","5","Sound Storm Laboratories SDML10ACP Single Din Chassis, Detachable 10 Inch Capacitive Touchscreen, Apple CarPlay, Android Auto, Bluetooth, No DVD, RGB Illumination, High Resolution FLAC Audio","https://www.amazon.com/dp/B093F837T9?language=en_US&currency=USD","1","Electronics,Car & Vehicle Electronics,Car Electronics,Car Video,In-Dash DVD & Video Receivers","5.45 pounds","4.1","ABO907060G8YG","In Stock.","4.94 x 7.01 x 1.97 inches","null","null","Sound Storm Laboratories SDML10ACP Apple CarPlay Android Auto Car Multimedia Player – Single Din Chassis With 10 Inch Capacitive Touchscreen, Bluetooth, No DVD, High Resolution FLAC, RGB Illumination","https://m.media-amazon.com/images/I/71DXeNXt84L.__AC_SX300_SY300_QL70_FMwebp_.jpg","146","January 21, 2021","SDML10ACP","Sound Storm Laboratories","null","true","null","true"
"2024-02-04","B0C2YQ9BJ1","Redragon","Redragon Shop","39.99","1","91","8219","USD","https://m.media-amazon.com/images/I/71chbo4DCqL.__AC_SX300_SY300_QL70_FMwebp_.jpg","1","Redragon GS520 RGB Desktop Speakers, 2.0 Channel PC Computer Stereo Speaker with 6 Colorful LED Modes, Enhanced Sound and Easy-Access Volume Control, USB Powered w/ 3.5mm Cable, Pink","https://www.amazon.com/Redragon-GS520-Speakers-Computer-Easy-Access/dp/B0C2YQ9BJ1?th=1&psc=1&currency=USD&language=en_GB","0","Electronics,Computers & Accessories,Computer Accessories & Peripherals,Audio & Video Accessories,Computer Speakers","0.071 ounces","4.4","A2FK9EP27A6ZE6","In Stock","7.36 x 4.33 x 6.69 inches","-5%","41.99","Plug & Play, Broad Compatibility USB powered with 3.5mm audio and mic cables allows this rockstar to party on wide types of stages. Up to 35 in (90 cm) cable length between two speakers.   Detailed Texture Style Minimalist, but not singularly boring. Urban modern style with brushed texture finish, highlighting your taste.","https://m.media-amazon.com/images/I/71chbo4DCqL.__AC_SX300_SY300_QL70_FMwebp_.jpg","0","August 24, 2020","GS520","Redragon","Electronics","true","null","false"
"2024-01-21","B08D3Y5PFZ","AOC","Amazon.com","129.99","18","2417","14803","USD","https://m.media-amazon.com/images/I/71aXlu6n1qL.__AC_SX300_SY300_QL70_FMwebp_.jpg","1","AOC C24G1A 24"" Curved Frameless Gaming Monitor, FHD 1920x1080, 1500R, VA, 1ms MPRT, 165Hz (144Hz supported), FreeSync Premium, Height adjustable Black","https://www.amazon.com/AOC-C24G1A-Frameless-1920x1080-adjustable/dp/B08D3Y5PFZ?th=1&psc=1&currency=USD&language=en_GB","0","Electronics,Computers & Accessories,Monitors","9.92 pounds","4.7","ATVPDKIKX0DER","In Stock","9.64 x 21.14 x 20.19 inches","-13%","149.99","AOC C24G1A 24-inch Class Curved Gaming Monitor FreeSync Premium support ensures a stutter-free and tear-free gaming experience at any frame rate. Equipped with a curved 23.6 VA panel, the C24G1A displays a super-detailed Full HD resolution (1920x1080 pixels) at a screaming 165Hz refresh rate and 1ms response time (MPRT).Crazy Immersive ExperienceIts extremely curved design (1500R curvature) wraps around you, putting you at the center of the action and providing an immersive gaming experience. Wrap yourself in a pair (or three) of these frameless monitors for the ultimate curved viewing experience.165Hz, 1ms Gameplay165Hz refresh rate and 1ms response times brings unprecedented smoothness and fluidity to your games and virtual instantaneous response to your mouse and keyboard actions. With LFC support that allows the monitor to adjust between 48-165Hz refresh rate, gone are the days of tearing and stutters. Maximize the performance of your consoles by unleashing up to 120Hz frame rate (exact performance depends on consoles) and ultra low latency, giving you an edge over your opponents.The Ultimate Battle Station expands your view with multiple monitor set-ups. Its frameless design (with narrow borders) offers minimal bezel distraction and an extra clean set-up for the ultimate battle station.AMD FreeSync PremiumAMD FreeSyncPremium synchronizes the display and AMD GPU in your PC to eliminate screen tearing, stutter and input lag, providing the smoothest, fastest, and visually stunning gaming experience possible.Height Adjustable Stand and Quick ReleaseThe AOC Gaming C24G1A monitor comes with a height adjustable stand and swivel and tilt movements to adjust it to the optimal position to promote better ergonomics, allowing for better sitting postures during extended gaming sessions. The quick release button on the stand allows for quick disassembly for times when you need to bring your rig to the next battle ground.What's in the Box: 23.6"" monitor, power cord, HDMI cable, DP cable, and QSG. At AOC, we design great products that meet our customers’ needs in a sustainable and responsible way. Our entire lineup is Mercury-free, ROHS-compliant, and made from conflict-free materials. Our packaging now includes less plastic, less ink, and more paper. To learn more about our full commitment to a greener future, visit Environment Policy | AOC Monitors.","https://m.media-amazon.com/images/I/71aXlu6n1qL.__AC_SX300_SY300_QL70_FMwebp_.jpg","0","September 15, 2020","C24G1A","AOC","Electronics","true","null","false"
"2022-09-20","B016YJWJ6S","Corsair","KBGames","$284.00","15","223","3178","$","https://m.media-amazon.com/images/I/61P2+AJ5D6S._AC_SX300_SY300_.jpg","6","Elgato Game Capture HD60 - Next Generation Gameplay Sharing for Playstation 4, Xbox One & Xbox 360, 1080p Quality with 60 fps","https://www.amazon.com/dp/B016YJWJ6S?language=en_US&currency=USD","2","Electronics,Computers & Accessories,Computer Components,Internal Components,Internal TV Tuner & Capture Cards","0.80 lbs 3.84 ounces — 1.25 lbs — 2.47 ounces","4.5","A1RVXBG8L6EVAG","Only 1 left in stock - order soon.","‎7.9 x 3.5 x 1.4 inches","null","null","Elgato Game Capture HD60Next Generation Gameplay SharingThe gaming experience is all about sharing. With Elgato Game Capture HD60, the next generation of gameplay sharing has finally arrived. Record and stream your PlayStation 4, Xbox One and Xbox 360, or Wii U gameplay and share your journey with friends, fans and generations to come. Seamlessly capture hours of your best moments in stunning 1080p with 60 fps and access them directly on your PC or Mac. With Flashback Recording, you don't have to worry about your capture - simply slide back in time on your PC or Mac and hit the record button retroactively.The lag-free passthrough to your TV will let you focus on your game, until you're ready to marvel at your feats. The built-in Live Streaming feature gets you up and running on Twitch, YouTube or Ustream in a snap. With Stream Command, easily add your webcam and overlays, and change your stream layout on-the-fly with scenes. Add your voice with the built-in Live Commentary feature, and you're all set for the big show.Technical SpecificationsInput: PlayStation 4, Xbox One & Xbox 360, Wii U (unencrypted HDMI)Output: HDMI (pass-through)Interface: USB 2.0Supported resolutions: 1080p60, 1080p30, 1080i, 720p60, 720p30, 576p, 576i, 480pDimensions: 4.4 x 3 x 0.75 inWeight: 3.7 ozNOTE : In addition to requiring Mac OS X 10.9 or higher, an “Intel Core i5 CPU (2nd gen)” is also required.","https://m.media-amazon.com/images/I/61P2+AJ5D6S._AC_SX300_SY300_.jpg","1000+","‎August 11, 2014","‎1GC109901001","‎Elgato","null","true","null","true"
"2024-02-04","B01N5IB20Q","Kingston","SAGASA LLC","28.8","25","38","212672","USD","https://m.media-amazon.com/images/I/71iM01UVAKL.__AC_SY300_SX300_QL70_FMwebp_.jpg","1","Kingston 240GB A400 SATA 3 2.5"" Internal SSD SA400S37/240G - HDD Replacement for Increase Performance","https://www.amazon.com/Kingston-240GB-Solid-SA400S37-240G/dp/B01N5IB20Q?th=1&psc=1&currency=USD&language=en_GB","0","Electronics,Computers & Accessories,Data Storage,Internal Solid State Drives","1.44 ounces","4.8","A36X6ZBPM8GO1Z","In Stock","3.94 x 0.28 x 2.75 inches","-15%","33.99","Incredible speeds plus rock-solid reliability - Kingston's A400 solid-state drive dramatically improves the responsiveness of your existing system with incredible boot, loading and file transfer times compared to mechanical hard drives. Powered by a latest gen controller for read and write speeds up to 500MB/s and 450MB/s, this SSD is 10x faster than a traditional hard drive for higher performance, ultra-responsive multi-tasking and an overall faster system. Also more reliable and durable than a hard drive, A400 is built with Flash memory. There are no moving parts, making it less likely to fail than a mechanical hard drive. It's also cooler and quieter, and its shock and vibration resistance makes it ideal for notebooks and other mobile computing devices. A400 is available in multiple capacities from 120GB-480GB to give you all the space you need for applications, videos, photos and other important documents. You can also replace your hard drive or a smaller SSD with a drive big enough to hold all your files. Backwards compatibility to SATA Rev. 2.0 (3Gb/s) Product contains drive only; cloning software not included. The Vibration operating of this product is 2.17G Peak (7–800Hz) and the Vibration non-operating of this product is 20G Peak (10–2000Hz).","https://m.media-amazon.com/images/I/71iM01UVAKL.__AC_SY300_SX300_QL70_FMwebp_.jpg","0","July 1, 2018","SA400S37/240G","Kingston Technology","Electronics","true","null","false"
"2023-09-10","B09XKJV4ZQ","GEEKRIA","GeekriaDirect","18.99","2","304512","7","USD","https://m.media-amazon.com/images/I/71HTKau21rL.__AC_SX300_SY300_QL70_FMwebp_.jpg","1","Geekria QuickFit Replacement Ear Pads for Sennheiser Momentum 3 Wireless Momentum 3.0 Wireless Headphones Ear Cushions, Headset Earpads, Ear Cups Cover Repair Parts (Black)","https://www.amazon.com/QuickFit-Replacement-Sennheiser-Momentum-Headphones/dp/B09XKJV4ZQ","0","Electronics,Headphones, Earbuds & Accessories,Earpads","1.27 ounces","4.6","A2OPUAQVSPCTA3","Only 8 left in stock - order soon","3.94 x 3.15 x 1.18 inches","-9%","20.87","Mistakes Happen. We've Got You Covered. With Geekria SureFit, we make sure you have complete peace of mind when shopping for any earpad we offer. If you made a mistake matching your headphones type, or the earpads didn't fit, we'll make full refund. Compatible Headphones: - Compatible with Sennheiser Momentum 3 Wireless, Momentum 3.0 Wireless earpads. Note: - Headphones replacement ear pad only, device is not included. Package Includes: - One set of ear cushions. Made by Geekria.","https://m.media-amazon.com/images/I/71HTKau21rL.__AC_SX300_SY300_QL70_FMwebp_.jpg","0","April 9, 2022","EJZ289-01","GEEKRIA","null","false","null","false"
"2023-09-10","B00ZGGG3KY","BRAINWAVZ","Brainwavz Audio","22.5","7","26430","5920","USD","https://m.media-amazon.com/images/I/91f-dD+ZPBL._AC_SY300_SX300_.jpg","1","BRAINWAVZ Hybrid Memory Foam Earpad - Black PU/Velour - Suitable for Large Over The Ear Headphones - AKG, HifiMan, ATH, Philips, Fostex","https://www.amazon.com/Brainwavz-Hybrid-Memory-Foam-Earpad/dp/B00ZGGG3KY","0","Electronics,Headphones, Earbuds & Accessories,Earpads","1.45 ounces","4.4","A2XYIDHW2C10EQ","In Stock","1.18 x 3.54 x 4.33 inches","-24%","29.5","About this item Replacement earpads made with made with high quality memory foam. EAR PAD REPLACEMENTS FOR OVAL HEADPHONES: Our state-of-the-art replacement ear pads are designed for comfort, suitable for ATH M50, M50x and Brainwavz HM5 and many other oval headphones. See below for list of compatible models and dimensions of earpads. THE BEST SOUND INSULATING EAR COVERS: Constructed of superior grade memory foam, this ear pad set insulates your ears with a perfect fit so nothing but the purest sound reaches your ear. Out performs your standard earpads and other competitor brand replacements. COMFORTABLE ON-EAR PLACEMENT: Relax in comfort with Brainwavz replacement ear cushions. They fit comfortably on your ear without distorting sound. Savor the notes with clarity and comfort. SUITABLE FOR BUT NOT LIMITED TO: Audio Technica ATH M50, ATH-M50x, ATH-M30x, MSR7NC, ATH-A900X, ATH-AD900X, ATH-900, ATH-M40x, ATH-R70x, BPSH1, ATH-M40FS, ATH-PRO700, ATH-AD700x. AKG K551, K553. Shure SRH 440, SRH-840. Takstar HI 2050, Pro 80. Ultrasone HF 580. Sony MDR-ZX770BN, MDRRF985RK, MDR-V700, V900, MDR-1A, MDR-RF6500. Fostex T50RP T50, th-x00, T40rp, 20RP MK3. Monoprice 8323","https://m.media-amazon.com/images/I/91f-dD+ZPBL._AC_SY300_SX300_.jpg","0","June 24, 2015","BWAVZ-HYBBLK","Brainwavz","null","false","null","false"
